DATE,UNRATE
2002-01-01,5.70
2002-02-01,5.70
2002-03-01,5.70
2002-04-01,5.90
2002-05-01,5.80
2002-06-01,5.80
2002-07-01,5.80
2002-08-01,5.70
2002-09-01,5.70
2002-10-01,5.70
2002-11-01,5.90
2002-12-01,6.00
2003-01-01,5.80
2003-02-01,5.90
2003-03-01,5.90
2003-04-01,6.00
2003-05-01,6.10
2003-06-01,6.30
2003-07-01,6.20
2003-08-01,6.10
2003-09-01,6.10
2003-10-01,6.00
2003-11-01,5.80
2003-12-01,5.70
2004-01-01,5.70
2004-02-01,5.60
2004-03-01,5.80
2004-04-01,5.60
2004-05-01,5.60
2004-06-01,5.60
2004-07-01,5.50
2004-08-01,5.40
2004-09-01,5.40
2004-10-01,5.50
2004-11-01,5.40
2004-12-01,5.40
2005-01-01,5.30
2005-02-01,5.40
2005-03-01,5.20
2005-04-01,5.20
2005-05-01,5.10
2005-06-01,5.00
2005-07-01,5.00
2005-08-01,4.90
2005-09-01,5.00
2005-10-01,5.00
2005-11-01,5.00
2005-12-01,4.90
2006-01-01,4.70
2006-02-01,4.80
2006-03-01,4.70
2006-04-01,4.70
2006-05-01,4.60
2006-06-01,4.60
2006-07-01,4.70
2006-08-01,4.70
2006-09-01,4.50
2006-10-01,4.40
2006-11-01,4.50
2006-12-01,4.40
2007-01-01,4.60
2007-02-01,4.50
2007-03-01,4.40
2007-04-01,4.50
2007-05-01,4.40
2007-06-01,4.60
2007-07-01,4.70
2007-08-01,4.60
2007-09-01,4.70
2007-10-01,4.70
2007-11-01,4.70
2007-12-01,5.00
2008-01-01,5.00
2008-02-01,4.90
2008-03-01,5.10
2008-04-01,5.00
2008-05-01,5.40
2008-06-01,5.60
2008-07-01,5.80
2008-08-01,6.10
2008-09-01,6.10
2008-10-01,6.50
2008-11-01,6.80
2008-12-01,7.30
2009-01-01,7.80
2009-02-01,8.30
2009-03-01,8.70
2009-04-01,9.00
2009-05-01,9.40
2009-06-01,9.50
2009-07-01,9.50
2009-08-01,9.60
2009-09-01,9.80
2009-10-01,10.00
2009-11-01,9.90
2009-12-01,9.90
2010-01-01,9.80
2010-02-01,9.80
2010-03-01,9.90
2010-04-01,9.90
2010-05-01,9.60
2010-06-01,9.40
2010-07-01,9.40
2010-08-01,9.50
2010-09-01,9.50
2010-10-01,9.40
2010-11-01,9.80
2010-12-01,9.30
2011-01-01,9.10
2011-02-01,9.00
2011-03-01,9.00
2011-04-01,9.10
2011-05-01,9.00
2011-06-01,9.10
2011-07-01,9.00
2011-08-01,9.00
2011-09-01,9.00
2011-10-01,8.80
2011-11-01,8.60
2011-12-01,8.50
2012-01-01,8.30
2012-02-01,8.30
2012-03-01,8.20
2012-04-01,8.20
2012-05-01,8.20
2012-06-01,8.20
2012-07-01,8.20
2012-08-01,8.10
2012-09-01,7.80
2012-10-01,7.80
2012-11-01,7.70
2012-12-01,7.90
2013-01-01,8.00
2013-02-01,7.70
2013-03-01,7.50
2013-04-01,7.60
2013-05-01,7.50
2013-06-01,7.50
2013-07-01,7.30
2013-08-01,7.20
2013-09-01,7.20
2013-10-01,7.20
2013-11-01,6.90
2013-12-01,6.70
2014-01-01,6.60
2014-02-01,6.70
2014-03-01,6.70
2014-04-01,6.20
2014-05-01,6.30
2014-06-01,6.10
2014-07-01,6.20
2014-08-01,6.10
2014-09-01,5.90
2014-10-01,5.70
2014-11-01,5.80
2014-12-01,5.60
2015-01-01,5.70
2015-02-01,5.50
2015-03-01,5.40
2015-04-01,5.40
2015-05-01,5.60
2015-06-01,5.30
2015-07-01,5.20
2015-08-01,5.10
2015-09-01,5.00
2015-10-01,5.00
2015-11-01,5.10
2015-12-01,5.00
2016-01-01,4.80
2016-02-01,4.90
2016-03-01,5.00
2016-04-01,5.10
2016-05-01,4.80
2016-06-01,4.90
2016-07-01,4.80
2016-08-01,4.90
2016-09-01,5.00
2016-10-01,4.90
2016-11-01,4.70
2016-12-01,4.70
2017-01-01,4.70
2017-02-01,4.60
2017-03-01,4.40
2017-04-01,4.40
2017-05-01,4.40
2017-06-01,4.30
2017-07-01,4.30
2017-08-01,4.40
2017-09-01,4.30
2017-10-01,4.20
2017-11-01,4.20
2017-12-01,4.10
2018-01-01,4.00
2018-02-01,4.10
2018-03-01,4.00
2018-04-01,4.00
2018-05-01,3.80
2018-06-01,4.00
2018-07-01,3.80
2018-08-01,3.80
2018-09-01,3.70
2018-10-01,3.80
2018-11-01,3.80
2018-12-01,3.90
2019-01-01,4.00
2019-02-01,3.80
2019-03-01,3.80
2019-04-01,3.70
2019-05-01,3.60
2019-06-01,3.60
2019-07-01,3.70
2019-08-01,3.60
2019-09-01,3.50
2019-10-01,3.60
2019-11-01,3.60
2019-12-01,3.60
2020-01-01,3.60
2020-02-01,3.50
2020-03-01,4.40
2020-04-01,14.80
2020-05-01,13.20
2020-06-01,11.00
2020-07-01,10.20
2020-08-01,8.40
2020-09-01,7.80
2020-10-01,6.90
2020-11-01,6.70
2020-12-01,6.70
2021-01-01,6.40
2021-02-01,6.20
2021-03-01,6.10
2021-04-01,6.10
2021-05-01,5.80
2021-06-01,5.90
2021-07-01,5.40
2021-08-01,5.10
2021-09-01,4.70
2021-10-01,4.50
2021-11-01,4.20
2021-12-01,3.90
2022-01-01,4.00
2022-02-01,3.80
2022-03-01,3.70
2022-04-01,3.70
2022-05-01,3.60
2022-06-01,3.60
2022-07-01,3.50
2022-08-01,3.60
2022-09-01,3.50
2022-10-01,3.60
2022-11-01,3.60
2022-12-01,3.50
2023-01-01,3.50
2023-02-01,3.60
2023-03-01,3.50
2023-04-01,3.40
2023-05-01,3.60
2023-06-01,3.60
2023-07-01,3.50
